name,internal_id_number
BIG DEAL ASSET HOLDING COMPANY (RF) (PTY) LTD,P0347
BIG BOSS GROUP (RF) (PTY) LTD,P0348
TIGER ADMINISTRATION (RF) (PTY) LTD,P0349
REINHARDT VLAKTE (PTY) LTD,P0352
TURBO TECH PLUMBING (PTY) LTD,P0353
RITE FIRELIGHTERS (PTY) LTD,P0354
MATJHABENG MOTOR SPARES (PTY) LTD,P0355
POP INS INVEST (PTY) LTD,P0357
BIG DEAL RESTAURANTS (RF) (PTY) LTD,P0359
MUNGWAP HOLDINGS (PTY) LTD,P0360
DAVIDOFF ENT (PTY) LTD,P0361
MUNGWAP 2 (PTY) LTD,P0362
HAPIHOBO (PTY) LTD,P0363
JE GAMBLING CORPORATION (PTY) LTD,P0364
IE PROPERTIES TWO (PTY) LTD,P0365
MAREE STELLENBOSCH INVESTMENTS (PTY) LTD,P0366
IE CAPITAL RESTAURANT GROUP (PTY) LTD,P0367
EXPERT FIT AND SOLUTIONS (PTY) LTD,P0368
IE PROPERTIES ONE (PTY) LTD,P0369
PAYSHYFT HOLDING (PTY) LTD,P0370
PAYSHYFT SA (PTY) LTD,P0371
MUNGWAP PROPERTIES (PTY) LTD,P0372
IMTATOUCH (PTY) LTD,P0373
ANKOLE 1 (PTY) LTD,P0374
BIG PAY HOLDING (PTY) LTD,P0375
PAYSHYFT (PTY)  LTD,P0377
PRONTO PROPERTY DEVELOPMENTS (PTY) LTD,P0378
K2018210203 (SOUTH AFRICA) (PTY) LTD,P0379
ZELDEVUE (PTY) LTD,P0380
KHANYAMOLEMO FOOD OUTLED (PTY) LTD,P0381
BCNZ PROPERTIES (PTY) LTD,P0382
SEKOTLO ASSETS MANAGEMENT (PTY) LTD,P0383
MUNGWAP 1 (PTY) LTD,P0384
TERENX COIN (PTY) LTD,P0385
ONYX SOLUTIONS (PTY) LTD,P0386
GG SAFETY NET (PTY) LTD,P0387
SHADES OF BROWN COSMETICS  (PTY) LTD,P0388
SHAMAR PROPERTY DEVELOPMENT (PTY) LTD,P0389
HERMES GAMING (PTY) LTD,P0390
LIBERALLY SUPPLIED 4 (PTY) LTD,P0391
JIRANIS 79 CONSULTING AND ENTERPRISE (PTY) LTD,P0392
BOSSA GAUTENG (PTY) LTD,P0394
COOK A CHEF  (PTY) LTD,P0395
EVERSON LOGISTICS (PTY) LTD,P0396
ROCK - HARD (PTY) LTD,P0397
EVERSON GROUP (PTY) LTD,P0398
EVERSON ENTERPRISES (PTY) LTD,P0399
COLLECT PAY (PTY) LTD,P0400
AAEV (PTY) LTD,P0401
EARTHLECTRICAL SOLUTIONS (PTY) LTD,P0402
MAGONGOA PROPERTIES (PTY) LTD,P0403
S M M WEALTH MANAGEMENT (PTY) LTD,P0404
S M M INNOVATION (PTY) LTD,P0405
MAGONGOA LOGISTICS AND SUPPLY CHAIN MANAGMENT (PTY) LTD,P0406
KHUMOENTLE PROPERTY (PTY) LTD,P0407
DILLYGENTIA (PTY) LTD,P0417
HORSE OX (PTY) LTD,P0418
MATOKE EATERY CT (PTY) LTD,P0419
JP PERFORMANCE AND SERVICES (PTY) LTD,P0420
BIZARMOUR INC.,PLC0001
RAEESA OMAR INC,PLC0002
THE DELA MAPOSTOLO TRUST,SH0015
RUZEWA TRUST,SH0037
MICON GROUP (PTY) LTD - RESIGNED,SH0071
JACOBS SITHOLE VENTURES (PTY) LTD,SH0096
SHAGGIN WAGONS (PTY) LTD,SH0131
HAMBURG TRUST,SH0135
THE BILTONG VILLAGE TRUST,SH0149
LUVUYOLWETHU CONSULT (PTY) LTD,SH0173
